362624.491,364643.261,3668.597
362627.245,365962.987,6004.939
362645.638,368867.435,10323.010
362663.947,355997.191,6924.063
362703.827,362684.253,7285.358
362723.220,355772.274,2084.260
362727.111,364017.459,1768.511
362749.924,362040.370,2167.501
362773.734,363427.751,2976.902
362798.974,357638.853,2622.419
362802.876,367971.657,2355.965
362840.255,368748.427,4483.906
362841.988,366738.916,9083.857
362858.414,372156.796,7606.635
362858.414,372156.796,7606.635
362883.447,370898.872,3767.579
362885.983,370452.560,3254.735
362886.357,361523.039,4177.076
362895.309,371913.742,7501.632
362909.222,354200.681,3146.428
362928.765,371016.383,4112.756
362941.041,369694.795,3105.661
362952.390,365933.065,5918.064
362973.340,375146.180,3147.106
362977.794,366848.072,5058.019
362980.377,363769.306,2976.893
362990.450,369371.777,3115.139
363036.739,369501.931,6705.982
363047.753,361241.016,4401.337
363052.280,360961.610,4645.870
363060.128,353957.819,3408.093
363081.659,373735.116,2084.312
363083.011,367718.752,1949.118
363105.254,371410.421,6540.127
363121.928,363355.069,1012.359
363133.519,371530.788,7024.599
363147.143,363766.197,1281.876
363154.885,371523.342,6216.878
363171.671,363202.614,1050.910
363185.038,364107.366,1515.092
363185.260,372617.319,1847.115
363188.022,363367.598,1133.229
363198.811,368579.865,5767.082
363198.811,368579.865,5767.082
363199.688,366527.829,3030.722
363234.236,369192.760,3238.857
363236.275,367059.826,10312.944
363273.135,366400.099,5278.497
363292.208,356806.709,950.062
363311.881,366058.111,5593.826
363328.816,353446.251,3819.545
363349.588,374798.009,5693.713
363418.791,366638.129,2722.820
363420.145,363441.467,1165.336
363454.007,356522.631,1158.662
363590.281,359256.848,5404.604
363630.628,352960.528,4342.876
363731.089,361095.859,3289.861
363736.261,367801.734,1829.563
363739.057,363645.821,1558.375
363758.601,356269.863,1247.445
363764.971,352704.744,4548.601
363781.135,359099.750,5226.802
363800.481,356076.652,1358.607
363820.508,358872.569,4946.479
363839.624,368820.079,3708.774
364047.116,366901.612,2458.159
364134.571,368592.088,3915.049
364194.397,359619.865,3990.827
364270.231,363372.069,1761.606
364349.894,362864.579,1821.133
364390.751,363713.116,5340.868
364392.215,363477.661,1945.873
364396.347,364111.587,4922.819
364443.558,363407.036,5583.859
364449.514,367891.343,1417.119
364464.732,368658.212,2619.913
364477.525,362289.854,1348.927
364480.211,362498.613,1440.186
364574.206,367813.862,1293.245
364584.645,367022.475,2220.134
364596.639,364815.722,6216.069
364727.472,368050.596,1386.889
364745.020,355490.301,4444.482
364749.124,368527.967,2714.827
364799.796,364409.204,4588.402
364868.377,357845.701,5893.009
364876.167,361908.879,6341.567
364886.793,361721.473,6693.834
364941.895,368463.884,2869.459
364941.895,368463.884,2869.459
364997.400,370569.248,4148.452
365022.103,370233.840,4025.702
365022.546,362221.593,2998.923
365046.745,361460.283,7264.210
365057.126,364451.168,4455.160
365069.439,370894.804,4376.966
365074.178,361826.294,2800.911
365095.166,361151.059,7531.974
365133.884,361016.771,2333.288
365164.568,361185.343,2460.786
365179.812,367136.885,2550.688
365181.501,360801.590,2465.415
365232.075,354793.793,5516.590
365287.002,363117.893,4001.777
365291.896,355017.041,7537.283
365484.742,355107.335,1337.939
365499.353,353887.640,10376.796
365502.652,357356.208,3020.411
365517.957,354661.933,7501.502
